mechanic,incursions_per_map,skip_after_locus,skip_after_doryani,skip_after_nexus,skip_last_if_0,switch_if_lvl0,total_locus,total_doryani,total_both,only_locus,only_doryani,total_any,maps
1,3,True,True,True,True,True,378755,334044,114025,264730,220019,598774,4809688
1,3,True,True,True,True,False,368396,323510,108553,259843,214957,583353,4770313
1,3,True,True,True,False,True,408459,360474,130343,278116,230131,638590,4846209
1,3,True,True,True,False,False,393898,347387,122525,271373,224862,618760,4796552
1,3,True,True,False,True,True,376898,333560,112959,263939,220601,597499,4762955
1,3,True,True,False,True,False,366160,323026,107401,258759,215625,581785,4723887
1,3,True,True,False,False,True,408138,360011,129585,278553,230426,638564,4796831
1,3,True,True,False,False,False,393445,347195,122853,270592,224342,617787,4749547
1,3,True,False,True,True,True,376115,298121,101616,274499,196505,572620,4489293
1,3,True,False,True,True,False,366368,290321,97422,268946,192899,559267,4465127
1,3,True,False,True,False,True,410077,325363,118897,291180,206466,616543,4515037
1,3,True,False,True,False,False,396062,315167,111874,284188,203293,599355,4484017
1,3,True,False,False,True,True,375513,297671,100857,274656,196814,572327,4440750
1,3,True,False,False,True,False,365539,290476,96934,268605,193542,559081,4416885
1,3,True,False,False,False,True,408735,325776,118607,290128,207169,615904,4463038
1,3,True,False,False,False,False,393599,315653,112100,281499,203553,597152,4433970
1,3,False,True,True,True,True,341333,333692,102290,239043,231402,572735,4470451
1,3,False,True,True,True,False,332714,323138,97523,235191,225615,558329,4445752
1,3,False,True,True,False,True,370789,361565,118201,252588,243364,614153,4493251
1,3,False,True,True,False,False,358837,350086,112818,246019,237268,596105,4462759
1,3,False,True,False,True,True,339217,333202,100794,238423,232408,571625,4414727
1,3,False,True,False,True,False,329521,322774,96825,232696,225949,555470,4392568
1,3,False,True,False,False,True,368353,362929,118130,250223,244799,613152,4435263
1,3,False,True,False,False,False,357663,349253,112281,245382,236972,594635,4407233
1,3,False,False,True,True,True,339209,298436,91755,247454,206681,545890,4069679
1,3,False,False,True,True,False,331163,289897,87715,243448,202182,533345,4067463
1,3,False,False,True,False,True,370527,327583,107689,262838,219894,590421,4073133
1,3,False,False,True,False,False,360376,316835,102885,257491,213950,574326,4069401
1,3,False,False,False,True,True,337440,297447,90559,246881,206888,544328,4000000
1,3,False,False,False,True,False,329289,290398,87292,241997,203106,532395,4000000
1,3,False,False,False,False,True,368526,328341,108011,260515,220330,588856,4000000
1,3,False,False,False,False,False,357481,317195,102653,254828,214542,572023,4000000
1,4,True,True,True,True,True,400421,352195,126310,274111,225885,626306,3953534
1,4,True,True,True,True,False,389739,341557,120376,269363,221181,610920,3904789
1,4,True,True,True,False,True,417755,368228,136180,281575,232048,649803,3980683
1,4,True,True,True,False,False,405333,356286,129472,275861,226814,632147,3924606
1,4,True,True,False,True,True,396778,351491,124313,272465,227178,623956,3896272
1,4,True,True,False,True,False,386257,342158,119282,266975,222876,609133,3847874
1,4,True,True,False,False,True,415588,367275,134822,280766,232453,648041,3922711
1,4,True,True,False,False,False,403788,355283,128716,275072,226567,630355,3867291
1,4,True,False,True,True,True,398356,297738,107160,291196,190578,588934,3573388
1,4,True,False,True,True,False,388077,290927,103103,284974,187824,575901,3542811
1,4,True,False,True,False,True,419331,315962,118678,300653,197284,616615,3591851
1,4,True,False,True,False,False,406483,306935,113161,293322,193774,600257,3555764
1,4,True,False,False,True,True,396663,297565,106736,289927,190829,587492,3513026
1,4,True,False,False,True,False,385532,291418,102341,283191,189077,574609,3484754
1,4,True,False,False,False,True,417780,315382,118360,299420,197022,614802,3529694
1,4,True,False,False,False,False,404431,306291,112186,292245,194105,598536,3498722
1,4,False,True,True,True,True,341871,352230,107736,234135,244494,586365,3548767
1,4,False,True,True,True,False,335209,342973,104064,231145,238909,574118,3519761
1,4,False,True,True,False,True,359001,371177,117583,241418,253594,612595,3567424
1,4,False,True,True,False,False,351052,360099,113637,237415,246462,597514,3532089
1,4,False,True,False,True,True,337088,353035,105819,231269,247216,584304,3483058
1,4,False,True,False,True,False,331288,342636,102474,228814,240162,571450,3455847
1,4,False,True,False,False,True,356420,371402,116528,239892,254874,611294,3500131
1,4,False,True,False,False,False,346969,359287,111708,235261,247579,594548,3467815
1,4,False,False,True,True,True,337969,298588,91186,246783,207402,545371,3082010
1,4,False,False,True,True,False,333301,291586,89130,244171,202456,535757,3079530
1,4,False,False,True,False,True,359166,317246,102235,256931,215011,574177,3084384
1,4,False,False,True,False,False,351242,309409,98426,252816,210983,562225,3080390
1,4,False,False,False,True,True,336284,297828,90107,246177,207721,544005,3000000
1,4,False,False,False,True,False,330526,290295,87588,242938,202707,533233,3000000
1,4,False,False,False,False,True,356812,316252,101185,255627,215067,571879,3000000
1,4,False,False,False,False,False,348338,308960,97260,251078,211700,560038,3000000
