mechanic,incursions_per_map,skip_after_locus,skip_after_doryani,skip_after_nexus,skip_last_if_0,switch_if_lvl0,total_locus,total_doryani,total_both,only_locus,only_doryani,total_any,maps
1,3,True,True,True,True,True,351490,307968,96121,255369,211847,563337,4831965
1,3,True,True,True,True,False,340819,298956,91682,249137,207274,548093,4794235
1,3,True,True,True,False,True,376037,330049,108247,267790,221802,597839,4865702
1,3,True,True,True,False,False,362519,318445,102421,260098,216024,578543,4818726
1,3,True,True,False,True,True,348978,307694,95492,253486,212202,561180,4782962
1,3,True,True,False,True,False,338901,297292,90656,248245,206636,545537,4746490
1,3,True,True,False,False,True,374320,330585,108143,266177,222442,596762,4815641
1,3,True,True,False,False,False,360442,317342,101119,259323,216223,576665,4770061
1,3,True,False,True,True,True,349376,272734,85442,263934,187292,536668,4503509
1,3,True,False,True,True,False,340501,265147,81740,258761,183407,523908,4478780
1,3,True,False,True,False,True,377198,294926,97961,279237,196965,574163,4524969
1,3,True,False,True,False,False,363303,284826,92415,270888,192411,555714,4496505
1,3,True,False,False,True,True,347996,271317,84050,263946,187267,535263,4450733
1,3,True,False,False,True,False,337946,264889,80997,256949,183892,521838,4429614
1,3,True,False,False,False,True,374541,295178,97076,277465,198102,572643,4473139
1,3,True,False,False,False,False,362533,285618,92453,270080,193165,555698,4445960
1,3,False,True,True,True,True,313160,307513,85130,228030,222383,535543,4481762
1,3,False,True,True,True,False,304844,297886,81763,223081,216123,520967,4459183
1,3,False,True,True,False,True,337181,332467,97474,239707,234993,572174,4503909
1,3,False,True,True,False,False,326402,320470,92620,233782,227850,554252,4475298
1,3,False,True,False,True,True,311612,308136,84728,226884,223408,535020,4426439
1,3,False,True,False,True,False,302679,297665,80924,221755,216741,519420,4403167
1,3,False,True,False,False,True,335337,332647,96718,238619,235929,571266,4445613
1,3,False,True,False,False,False,324279,319335,91528,232751,227807,552086,4418125
1,3,False,False,True,True,True,312609,272708,76291,236318,196417,509026,4071725
1,3,False,False,True,True,False,303988,265594,73275,230713,192319,496307,4069265
1,3,False,False,True,False,True,338452,296854,88601,249851,208253,546705,4074279
1,3,False,False,True,False,False,326861,286941,83739,243122,203202,530063,4071205
1,3,False,False,False,True,True,309620,272305,74640,234980,197665,507285,4000000
1,3,False,False,False,True,False,302303,264383,71911,230392,192472,494775,4000000
1,3,False,False,False,False,True,335598,296818,87367,248231,209451,545049,4000000
1,3,False,False,False,False,False,324471,287241,83537,240934,203704,528175,4000000
1,4,True,True,True,True,True,370694,325175,106650,264044,218525,589219,3981773
1,4,True,True,True,True,False,360787,315538,102023,258764,213515,574302,3934399
1,4,True,True,True,False,True,385436,338409,113746,271690,224663,610099,4006471
1,4,True,True,True,False,False,372453,326691,107800,264653,218891,591344,3950192
1,4,True,True,False,True,True,368482,325789,105877,262605,219912,588394,3919804
1,4,True,True,False,True,False,357295,315651,100813,256482,214838,572133,3874846
1,4,True,True,False,False,True,382590,338484,113162,269428,225322,607912,3944531
1,4,True,True,False,False,False,370564,326470,107066,263498,219404,589968,3891539
1,4,True,False,True,True,True,369155,270172,89529,279626,180643,549798,3588367
1,4,True,False,True,True,False,358917,264229,85895,273022,178334,537251,3559276
1,4,True,False,True,False,True,387505,284200,98003,289502,186197,573702,3606542
1,4,True,False,True,False,False,374461,276390,92625,281836,183765,558226,3573145
1,4,True,False,False,True,True,367367,270081,88873,278494,181208,548575,3527117
1,4,True,False,False,True,False,357823,263905,85334,272489,178571,536394,3500568
1,4,True,False,False,False,True,385832,283939,96974,288858,186965,572797,3543939
1,4,True,False,False,False,False,372403,276207,91942,280461,184265,556668,3511136
1,4,False,True,True,True,True,311467,326403,89723,221744,236680,548147,3564270
1,4,False,True,True,True,False,305255,316668,86371,218884,230297,535552,3537256
1,4,False,True,True,False,True,326037,341804,97194,228843,244610,570647,3579834
1,4,False,True,True,False,False,317562,329747,92899,224663,236848,554410,3547423
1,4,False,True,False,True,True,308552,325687,88177,220375,237510,546062,3497281
1,4,False,True,False,True,False,301766,315692,85295,216471,230397,532163,3469969
1,4,False,True,False,False,True,323529,341265,95679,227850,245586,569115,3511602
1,4,False,True,False,False,False,315009,330374,92123,222886,238251,553260,3480605
1,4,False,False,True,True,True,310363,270412,75236,235127,195176,505539,3084807
1,4,False,False,True,True,False,304459,264102,72969,231490,191133,495592,3081053
1,4,False,False,True,False,True,325931,285315,82239,243692,203076,529007,3086072
1,4,False,False,True,False,False,317667,278309,79205,238462,199104,516771,3082165
1,4,False,False,False,True,True,306385,270243,74114,232271,196129,502514,3000000
1,4,False,False,False,True,False,300009,263608,71220,228789,192388,492397,3000000
1,4,False,False,False,False,True,323210,285982,81362,241848,204620,527830,3000000
1,4,False,False,False,False,False,313642,279241,78512,235130,200729,514371,3000000
